;account_id;frequency;date;loan_id;date_loan;amount;duration;payments;status;client_id;type;birth_number;district_id_client;gender;age_loan;code;name ;region;no. of inhabitants;no. of municipalities with inhabitants < 499 ;no. of municipalities with inhabitants 500-1999;no. of municipalities with inhabitants 2000-9999 ;no. of municipalities with inhabitants >10000 ;no. of cities ;ratio of urban inhabitants ;average salary ;no. of enterpreneurs per 1000 inhabitants ;unemployment_rate;commited_crimes;disp_id_count;diff_salary_loan
0;1787;weekly issuance;930322;5314;930705;96396;12;8033;-1;2166;OWNER;475722;30;female;930705;30;Sokolov;west Bohemia;94812;15;13;8;2;10;81.8;9650;100;3.525;2894.5;1;1617
1;1801;monthly issuance;930213;5316;930711;165960;36;4610;1;2181;OWNER;680722;46;male;930711;46;Nachod;east Bohemia;112709;48;20;7;3;10;73.5;8369;117;2.05;2736.0;1;3759
2;9188;monthly issuance;930208;6863;930728;127080;60;2118;1;11314;OWNER;360602;45;male;930728;45;Jicin;east Bohemia;77917;85;19;6;1;5;53.5;8390;132;2.585;2101.0;1;6272
3;1843;monthly issuance;930130;5325;930803;105804;36;2939;1;2235;OWNER;405420;14;female;930803;14;Ceske Budejovice;south Bohemia;177686;69;27;10;1;9;74.8;10045;135;1.565;6449.5;1;7106
4;11013;weekly issuance;930214;7240;930906;274740;60;4579;1;13539;OWNER;780907;63;male;930906;63;Vyskov;south Moravia;86513;38;36;5;1;5;50.5;8288;110;4.154999999999999;1511.0;1;3709
5;8261;monthly issuance;930512;6687;930913;87840;24;3660;1;10200;OWNER;805216;13;female;930913;13;Rakovnik;central Bohemia;53921;61;22;1;1;2;41.3;8598;123;3.0149999999999997;1736.0;2;4938
6;11265;monthly issuance;930114;7284;930915;52788;12;4399;1;13845;OWNER;730216;15;male;930915;15;Cesky Krumlov;south Bohemia;58796;22;16;7;1;5;51.9;9045;124;3.365;1862.0;1;4646
7;5428;monthly issuance;930414;6111;930924;174744;24;7281;-1;6551;OWNER;485812;24;female;930924;24;Karlovy Vary;west Bohemia;122603;25;21;6;2;8;80.0;8991;128;1.6999999999999997;5235.5;1;1710
8;10973;weekly issuance;930420;7235;931013;154416;48;3217;1;13490;OWNER;695525;18;female;931013;18;Pisek;south Bohemia;70699;60;13;2;1;4;65.3;8968;131;3.09;1825.0;1;5751
9;4894;monthly issuance;930620;5997;931104;117024;24;4876;1;5911;OWNER;351003;14;male;931104;14;Ceske Budejovice;south Bohemia;177686;69;27;10;1;9;74.8;10045;135;1.565;6449.5;1;5169
