loan_id,account_id,loan_date,amount,duration,payments,status,account_district_id,frequency,creation_date,disp_id,client_id,has_disponent,client_district_id,gender,birth_date,code,region,no._of_inhabitants,no._of_municipalities_with_inhabitants_<_499,no._of_municipalities_with_inhabitants_500-1999,no._of_municipalities_with_inhabitants_2000-9999,no._of_municipalities_with_inhabitants_>10000,no._of_cities,ratio_of_urban_inhabitants,average_salary,unemployment_rate,avg_commited_crimes,ratio_entrepreneurs,criminality_growth,unemployment_growth,avg_amount_credit,avg_amount_withdrawal,avg_amount_total,min_amount,max_amount,credit_ratio,num_trans,avg_balance,min_balance,max_balance,std_balance,negative_balance,last_balance_negative,num_cash_credit,num_coll,num_interest,num_cash_withdrawal,num_rem,num_card_withdrawal,mean_no_symbol,num_no_symbol,mean_household,num_household,mean_statement,num_statement,mean_insurance,num_insurance,mean_sanction,num_sanction,mean_pension,num_pension,has_card,age_at_loan,days_between,same_district
5314,1787,1993-07-05,96396,12,8033,-1,30,weekly issuance,1993-03-22,2166,2166,False,30,female,1947-07-22,30,west Bohemia,94812,15,13,8,2,10,0.818,9650,3.525,0.030528836012319115,0.1,-0.0019090410496561618,0.29000000000000004,5025.0,0.0,5025.0,1100.0,9900.0,1.0,4,12250.0,1100.0,20100.0,8330.8663014919,False,False,4,0.0,0.0,0.0,0.0,0.0,5025.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,45,105,True
5316,1801,1993-07-11,165960,36,4610,1,46,monthly issuance,1993-02-13,2181,2181,False,46,male,1968-07-22,46,east Bohemia,112709,48,20,7,3,10,0.735,8369,2.05,0.024274902625344916,0.117,-0.0020938877995546053,0.52,13523.158823529413,-8884.24,1411.0513513513515,-54300.0,36574.0,0.4594594594594595,37,52083.85945945946,700.0,120512.8,29122.05945394563,False,False,12,0.0,5.0,12.0,8.0,0.0,2608.8333333333335,24,-4167.0,2.0,-14.6,3.0,-956.0,3.0,0.0,0.0,0.0,0.0,False,24,148,True
6456,7123,1993-12-09,47016,12,3918,1,64,issuance after transaction,1993-04-14,8598,8598,False,46,female,1957-12-31,46,east Bohemia,112709,48,20,7,3,10,0.735,8369,2.05,0.024274902625344916,0.117,-0.0020938877995546053,0.52,13031.063636363637,-11395.5,1399.3666666666668,-51800.0,47705.0,0.5238095238095238,42,60382.08571428571,200.0,112901.6,23888.321559448163,False,False,14,0.0,8.0,16.0,4.0,0.0,4462.038461538462,26,-14581.0,4.0,-100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,35,239,False
7249,11065,1994-06-12,69360,48,1445,1,11,monthly issuance,1993-03-19,13295,13603,False,46,male,1941-07-28,46,east Bohemia,112709,48,20,7,3,10,0.735,8369,2.05,0.024274902625344916,0.117,-0.0020938877995546053,0.52,6597.1322580645165,-3528.6382978723404,495.70641025641027,-13700.0,17782.0,0.3974358974358974,78,33857.106410256405,1100.0,52365.0,9598.252851868401,False,False,17,0.0,14.0,47.0,0.0,0.0,685.2962962962963,54,0.0,0.0,-14.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False,52,450,False
6863,9188,1993-07-28,127080,60,2118,1,45,monthly issuance,1993-02-08,11006,11314,False,45,male,1936-06-02,45,east Bohemia,77917,85,19,6,1,5,0.535,8390,2.585,0.026964590525815933,0.132,0.0005390351271224508,0.6100000000000003,5009.733333333334,-6097.0,844.7083333333334,-14800.0,19065.0,0.625,24,30060.954166666666,800.0,49590.4,11520.18445104369,False,False,2,5.0,8.0,6.0,3.0,0.0,1966.7142857142858,14,-7936.0,1.0,0.0,0.0,-66.0,1.0,0.0,0.0,0.0,0.0,False,57,170,True
6668,8129,1994-07-30,74736,36,2076,1,45,monthly issuance,1993-06-26,9735,10043,False,45,male,1965-10-29,45,east Bohemia,77917,85,19,6,1,5,0.535,8390,2.585,0.026964590525815933,0.132,0.0005390351271224508,0.6100000000000003,11194.334615384616,-6288.019512195122,496.17761194029845,-20000.0,30918.0,0.3880597014925373,67,37912.99850746268,700.0,62084.0,10605.68811295336,False,False,14,0.0,12.0,33.0,8.0,0.0,2078.153846153846,39,-6184.0,8.0,-14.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,False,28,399,True
7138,10440,1995-07-03,60000,60,1000,1,72,monthly issuance,1993-09-13,12536,12844,False,45,male,1946-10-15,45,east Bohemia,77917,85,19,6,1,5,0.535,8390,2.585,0.026964590525815933,0.132,0.0005390351271224508,0.6100000000000003,3840.34375,-1881.5528089887641,123.19927007299269,-7000.0,11049.0,0.35036496350364965,137,24643.283941605838,400.0,39393.9,5853.928886719555,False,False,27,0.0,21.0,55.0,34.0,0.0,797.9024390243902,82,-2960.0,17.0,-14.6,17.0,0.0,0.0,0.0,0.0,0.0,0.0,False,48,658,False
5160,1011,1995-12-18,204000,60,3400,1,45,monthly issuance,1994-12-17,1215,1215,False,45,male,1944-05-06,45,east Bohemia,77917,85,19,6,1,5,0.535,8390,2.585,0.026964590525815933,0.132,0.0005390351271224508,0.6100000000000003,10772.44,-5782.955,584.5046153846155,-16100.0,30604.0,0.38461538461538464,65,37809.39846153846,400.0,68172.8,12656.782825432134,False,False,2,12.0,11.0,32.0,8.0,0.0,2389.7948717948716,39,-7085.0,8.0,-14.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False,51,366,True
5325,1843,1993-08-03,105804,36,2939,1,12,monthly issuance,1993-01-30,2235,2235,False,14,female,1940-04-20,14,south Bohemia,177686,69,27,10,1,9,0.748,10045,1.565,0.03629717591706719,0.135,-0.0017390227705052733,0.29000000000000004,9254.6,-7168.099999999999,1371.704,-15600.0,26448.0,0.52,25,41297.48,1000.0,65898.5,14151.260443037105,False,False,2,6.0,5.0,10.0,2.0,0.0,2969.25,16,-6994.0,2.0,-14.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,53,185,False
5997,4894,1993-11-04,117024,24,4876,1,14,monthly issuance,1993-06-20,5911,5911,False,14,male,1935-10-03,14,south Bohemia,177686,69,27,10,1,9,0.748,10045,1.565,0.03629717591706719,0.135,-0.0017390227705052733,0.29000000000000004,13154.833333333334,-16300.0,4091.8076923076924,-24000.0,29255.0,0.6923076923076923,13,44131.16923076923,800.0,76985.2,19844.247591152816,False,False,1,4.0,4.0,4.0,0.0,0.0,5846.666666666667,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,58,137,True
