loan_id,amount,duration,payments,status,frequency,has_disponent,gender,ratio_of_urban_inhabitants,average_salary,unemployment_rate,avg_commited_crimes,ratio_entrepreneurs,criminality_growth,unemployment_growth,avg_amount_credit,avg_amount_withdrawal,avg_amount_total,min_amount,max_amount,credit_ratio,num_trans,avg_balance,min_balance,max_balance,std_balance,negative_balance,last_balance_negative,has_card,age_at_loan,days_between,same_district,age
5314,96396,12,8033,1,2,0,0,0.818,9650,3.525,0.030528836012319115,0.1,-0.0019090410496561618,0.29000000000000004,5025.0,0.0,5025.0,1100.0,9900.0,1.0,4,12250.0,1100.0,20100.0,8330.8663014919,0,0,0,45,105,1,75
5316,165960,36,4610,0,1,0,1,0.735,8369,2.05,0.024274902625344916,0.117,-0.0020938877995546053,0.52,13523.158823529413,-8884.24,1411.0513513513515,-54300.0,36574.0,0.4594594594594595,37,52083.85945945946,700.0,120512.8,29122.05945394563,0,0,0,24,148,1,54
6456,47016,12,3918,0,0,0,0,0.735,8369,2.05,0.024274902625344916,0.117,-0.0020938877995546053,0.52,13031.063636363637,-11395.5,1399.3666666666668,-51800.0,47705.0,0.5238095238095238,42,60382.08571428571,200.0,112901.6,23888.321559448163,0,0,0,35,239,0,64
7249,69360,48,1445,0,1,0,1,0.735,8369,2.05,0.024274902625344916,0.117,-0.0020938877995546053,0.52,6597.1322580645165,-3528.6382978723404,495.70641025641027,-13700.0,17782.0,0.3974358974358974,78,33857.106410256405,1100.0,52365.0,9598.252851868401,0,0,0,52,450,0,81
6863,127080,60,2118,0,1,0,1,0.535,8390,2.585,0.026964590525815933,0.132,0.0005390351271224508,0.6100000000000003,5009.733333333334,-6097.0,844.7083333333334,-14800.0,19065.0,0.625,24,30060.954166666666,800.0,49590.4,11520.18445104369,0,0,0,57,170,1,86
6668,74736,36,2076,0,1,0,1,0.535,8390,2.585,0.026964590525815933,0.132,0.0005390351271224508,0.6100000000000003,11194.334615384616,-6288.019512195122,496.17761194029845,-20000.0,30918.0,0.3880597014925373,67,37912.99850746268,700.0,62084.0,10605.68811295336,0,0,0,28,399,1,57
7138,60000,60,1000,0,1,0,1,0.535,8390,2.585,0.026964590525815933,0.132,0.0005390351271224508,0.6100000000000003,3840.34375,-1881.5528089887641,123.19927007299269,-7000.0,11049.0,0.35036496350364965,137,24643.283941605838,400.0,39393.9,5853.928886719555,0,0,0,48,658,0,76
5160,204000,60,3400,0,1,0,1,0.535,8390,2.585,0.026964590525815933,0.132,0.0005390351271224508,0.6100000000000003,10772.44,-5782.955,584.5046153846155,-16100.0,30604.0,0.38461538461538464,65,37809.39846153846,400.0,68172.8,12656.782825432134,0,0,0,51,366,1,78
5325,105804,36,2939,0,1,0,0,0.748,10045,1.565,0.03629717591706719,0.135,-0.0017390227705052733,0.29000000000000004,9254.6,-7168.099999999999,1371.704,-15600.0,26448.0,0.52,25,41297.48,1000.0,65898.5,14151.260443037105,0,0,0,53,185,0,82
5997,117024,24,4876,0,1,0,1,0.748,10045,1.565,0.03629717591706719,0.135,-0.0017390227705052733,0.29000000000000004,13154.833333333334,-16300.0,4091.8076923076924,-24000.0,29255.0,0.6923076923076923,13,44131.16923076923,800.0,76985.2,19844.247591152816,0,0,0,58,137,1,87
6734,173016,36,4806,0,2,0,0,0.748,10045,1.565,0.03629717591706719,0.135,-0.0017390227705052733,0.29000000000000004,14459.529787234043,-12580.127659574468,939.7010638297871,-62700.0,49769.0,0.5,94,61799.24361702128,300.0,123928.2,26512.878935391018,0,0,0,51,318,1,77
5611,321180,60,5353,0,1,1,1,0.748,10045,1.565,0.03629717591706719,0.135,-0.0017390227705052733,0.29000000000000004,16276.9,-11405.895238095238,978.5131578947369,-34000.0,48180.0,0.4473684210526316,38,40524.46315789474,700.0,90257.3,21716.75025029622,0,0,0,60,233,1,86
7101,421008,48,8771,0,1,0,1,0.748,10045,1.565,0.03629717591706719,0.135,-0.0017390227705052733,0.29000000000000004,10392.413636363637,-7052.321428571428,623.362,-19100.0,31540.0,0.44,50,37436.422,600.0,72330.4,12359.209052004047,0,0,0,43,304,1,69
